munic,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01
Belford Roxo ,457201,457201,457201,457201,457201,457201,457201,457201,457201,457201,457201,457201,472325,472325,472325,472325,472325,472325,472325,472325,472325,472325,472325,472325,480695,480695,480695,480695,480695,480695,480695,480695,480695,480695,480695,480695,489002,489002,489002,489002,489002,489002,489002,489002,489002,489002,489002,489002,492348,492348,492348,492348,492348,492348,492348,492348,492348,492348,492348,492348,495694,495694,495694,495694,495694,495694,495694,495694,495694,495694,495694,495694,501544,501544,501544,501544,501544,501544,501544,501544,501544,501544,501544,501544,486776,486776,486776,486776,486776,486776,486776,486776,486776,486776,486776,486776,472008,472008,472008,472008,472008,472008,472008,472008,472008,472008,472008,472008,474596,474596,474596,474596,474596,474596,474596,474596,474596,474596,474596,474596,477583,477583,477583,477583,477583,477583,477583,477583,477583,477583,477583,477583,479386,479386,479386,479386,479386,479386,479386,479386,479386,479386,479386,479386,481127,481127,481127,481127,481127,481127,481127,481127,481127,481127,481127,481127,494141,494141,494141,494141,494141,494141,494141,494141,494141,494141,494141,494141,495783,495783,495783,495783,495783,495783,495783,495783,495783,495783,495783,495783,508614,508614,508614,508614,508614,508614,508614,508614,508614,508614,508614,508614,508614,510906,510906,510906,510906,510906,510906,510906,510906,510906,510906
Duque de Caxias ,808614,808614,808614,808614,808614,808614,808614,808614,808614,808614,808614,808614,830679,830679,830679,830679,830679,830679,830679,830679,830679,830679,830679,830679,842890,842890,842890,842890,842890,842890,842890,842890,842890,842890,842890,842890,855010,855010,855010,855010,855010,855010,855010,855010,855010,855010,855010,855010,859701,859701,859701,859701,859701,859701,859701,859701,859701,859701,859701,859701,864392,864392,864392,864392,864392,864392,864392,864392,864392,864392,864392,864392,872762,872762,872762,872762,872762,872762,872762,872762,872762,872762,872762,872762,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,861158,861158,861158,861158,861158,861158,861158,861158,861158,861158,861158,861158,867067,867067,867067,867067,867067,867067,867067,867067,867067,867067,867067,867067,873921,873921,873921,873921,873921,873921,873921,873921,873921,873921,873921,873921,878402,878402,878402,878402,878402,878402,878402,878402,878402,878402,878402,878402,882729,882729,882729,882729,882729,882729,882729,882729,882729,882729,882729,882729,886917,886917,886917,886917,886917,886917,886917,886917,886917,886917,886917,886917,890997,890997,890997,890997,890997,890997,890997,890997,890997,890997,890997,890997,914383,914383,914383,914383,914383,914383,914383,914383,914383,914383,914383,914383,914383,919596,919596,919596,919596,919596,919596,919596,919596,919596,919596
Guapimirim ,40994,40994,40994,40994,40994,40994,40994,40994,40994,40994,40994,40994,43019,43019,43019,43019,43019,43019,43019,43019,43019,43019,43019,43019,44139,44139,44139,44139,44139,44139,44139,44139,44139,44139,44139,44139,45251,45251,45251,45251,45251,45251,45251,45251,45251,45251,45251,45251,46969,46969,46969,46969,46969,46969,46969,46969,46969,46969,46969,46969,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,49748,49748,49748,49748,49748,49748,49748,49748,49748,49748,49748,49748,51135,51135,51135,51135,51135,51135,51135,51135,51135,51135,51135,51135,52522,52522,52522,52522,52522,52522,52522,52522,52522,52522,52522,52522,53527,53527,53527,53527,53527,53527,53527,53527,53527,53527,53527,53527,54706,54706,54706,54706,54706,54706,54706,54706,54706,54706,54706,54706,55626,55626,55626,55626,55626,55626,55626,55626,55626,55626,55626,55626,56515,56515,56515,56515,56515,56515,56515,56515,56515,56515,56515,56515,57105,57105,57105,57105,57105,57105,57105,57105,57105,57105,57105,57105,57921,57921,57921,57921,57921,57921,57921,57921,57921,57921,57921,57921,59613,59613,59613,59613,59613,59613,59613,59613,59613,59613,59613,59613,59613,60517,60517,60517,60517,60517,60517,60517,60517,60517,60517
Itaboraí ,201443,201443,201443,201443,201443,201443,201443,201443,201443,201443,201443,201443,210735,210735,210735,210735,210735,210735,210735,210735,210735,210735,210735,210735,215877,215877,215877,215877,215877,215877,215877,215877,215877,215877,215877,215877,220981,220981,220981,220981,220981,220981,220981,220981,220981,220981,220981,220981,223145,223145,223145,223145,223145,223145,223145,223145,223145,223145,223145,223145,225309,225309,225309,225309,225309,225309,225309,225309,225309,225309,225309,225309,228996,228996,228996,228996,228996,228996,228996,228996,228996,228996,228996,228996,224674,224674,224674,224674,224674,224674,224674,224674,224674,224674,224674,224674,220352,220352,220352,220352,220352,220352,220352,220352,220352,220352,220352,220352,222618,222618,222618,222618,222618,222618,222618,222618,222618,222618,222618,222618,225263,225263,225263,225263,225263,225263,225263,225263,225263,225263,225263,225263,227168,227168,227168,227168,227168,227168,227168,227168,227168,227168,227168,227168,229007,229007,229007,229007,229007,229007,229007,229007,229007,229007,229007,229007,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,232394,232394,232394,232394,232394,232394,232394,232394,232394,232394,232394,232394,238695,238695,238695,238695,238695,238695,238695,238695,238695,238695,238695,238695,238695,240592,240592,240592,240592,240592,240592,240592,240592,240592,240592
Japeri ,88668,88668,88668,88668,88668,88668,88668,88668,88668,88668,88668,88668,92254,92254,92254,92254,92254,92254,92254,92254,92254,92254,92254,92254,94239,94239,94239,94239,94239,94239,94239,94239,94239,94239,94239,94239,96209,96209,96209,96209,96209,96209,96209,96209,96209,96209,96209,96209,98132,98132,98132,98132,98132,98132,98132,98132,98132,98132,98132,98132,100055,100055,100055,100055,100055,100055,100055,100055,100055,100055,100055,100055,101690,101690,101690,101690,101690,101690,101690,101690,101690,101690,101690,101690,99060,99060,99060,99060,99060,99060,99060,99060,99060,99060,99060,99060,96430,96430,96430,96430,96430,96430,96430,96430,96430,96430,96430,96430,97337,97337,97337,97337,97337,97337,97337,97337,97337,97337,97337,97337,98393,98393,98393,98393,98393,98393,98393,98393,98393,98393,98393,98393,99141,99141,99141,99141,99141,99141,99141,99141,99141,99141,99141,99141,99863,99863,99863,99863,99863,99863,99863,99863,99863,99863,99863,99863,100562,100562,100562,100562,100562,100562,100562,100562,100562,100562,100562,100562,101237,101237,101237,101237,101237,101237,101237,101237,101237,101237,101237,101237,103960,103960,103960,103960,103960,103960,103960,103960,103960,103960,103960,103960,103960,104768,104768,104768,104768,104768,104768,104768,104768,104768,104768
Magé ,218821,218821,218821,218821,218821,218821,218821,218821,218821,218821,218821,218821,227467,227467,227467,227467,227467,227467,227467,227467,227467,227467,227467,227467,232251,232251,232251,232251,232251,232251,232251,232251,232251,232251,232251,232251,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,238970,238970,238970,238970,238970,238970,238970,238970,238970,238970,238970,238970,240940,240940,240940,240940,240940,240940,240940,240940,240940,240940,240940,240940,244334,244334,244334,244334,244334,244334,244334,244334,244334,244334,244334,244334,236653,236653,236653,236653,236653,236653,236653,236653,236653,236653,236653,236653,228972,228972,228972,228972,228972,228972,228972,228972,228972,228972,228972,228972,230568,230568,230568,230568,230568,230568,230568,230568,230568,230568,230568,230568,232419,232419,232419,232419,232419,232419,232419,232419,232419,232419,232419,232419,233634,233634,233634,233634,233634,233634,233634,233634,233634,233634,233634,233634,234809,234809,234809,234809,234809,234809,234809,234809,234809,234809,234809,234809,236319,236319,236319,236319,236319,236319,236319,236319,236319,236319,236319,236319,237420,237420,237420,237420,237420,237420,237420,237420,237420,237420,237420,237420,243657,243657,243657,243657,243657,243657,243657,243657,243657,243657,243657,243657,243657,245071,245071,245071,245071,245071,245071,245071,245071,245071,245071
Maricá ,86038,86038,86038,86038,86038,86038,86038,86038,86038,86038,86038,86038,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,95653,95653,95653,95653,95653,95653,95653,95653,95653,95653,95653,95653,99052,99052,99052,99052,99052,99052,99052,99052,99052,99052,99052,99052,"109141,5","109141,5","109141,5","109141,5","109141,5","109141,5","109141,5","109141,5","109141,5","109141,5","109141,5","109141,5",119231,119231,119231,119231,119231,119231,119231,119231,119231,119231,119231,119231,123492,123492,123492,123492,123492,123492,123492,123492,123492,123492,123492,123492,127423,127423,127423,127423,127423,127423,127423,127423,127423,127423,127423,127423,131355,131355,131355,131355,131355,131355,131355,131355,131355,131355,131355,131355,135121,135121,135121,135121,135121,135121,135121,135121,135121,135121,135121,135121,139552,139552,139552,139552,139552,139552,139552,139552,139552,139552,139552,139552,143111,143111,143111,143111,143111,143111,143111,143111,143111,143111,143111,143111,146549,146549,146549,146549,146549,146549,146549,146549,146549,146549,146549,146549,149876,149876,149876,149876,149876,149876,149876,149876,149876,149876,149876,149876,153008,153008,153008,153008,153008,153008,153008,153008,153008,153008,153008,153008,157789,157789,157789,157789,157789,157789,157789,157789,157789,157789,157789,157789,157789,161207,161207,161207,161207,161207,161207,161207,161207,161207,161207
Mesquita ,174045,174045,174045,174045,174045,174045,174045,174045,174045,174045,174045,174045,179517,179517,179517,179517,179517,179517,179517,179517,179517,179517,179517,179517,182546,182546,182546,182546,182546,182546,182546,182546,182546,182546,182546,182546,185552,185552,185552,185552,185552,185552,185552,185552,185552,185552,185552,185552,186750,186750,186750,186750,186750,186750,186750,186750,186750,186750,186750,186750,187949,187949,187949,187949,187949,187949,187949,187949,187949,187949,187949,187949,190056,190056,190056,190056,190056,190056,190056,190056,190056,190056,190056,190056,179511,179511,179511,179511,179511,179511,179511,179511,179511,179511,179511,179511,168966,168966,168966,168966,168966,168966,168966,168966,168966,168966,168966,168966,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,170185,170185,170185,170185,170185,170185,170185,170185,170185,170185,170185,170185,170473,170473,170473,170473,170473,170473,170473,170473,170473,170473,170473,170473,170751,170751,170751,170751,170751,170751,170751,170751,170751,170751,170751,170751,171020,171020,171020,171020,171020,171020,171020,171020,171020,171020,171020,171020,171280,171280,171280,171280,171280,171280,171280,171280,171280,171280,171280,171280,175620,175620,175620,175620,175620,175620,175620,175620,175620,175620,175620,175620,175620,176103,176103,176103,176103,176103,176103,176103,176103,176103,176103
Nilópolis ,152363,152363,152363,152363,152363,152363,152363,152363,152363,152363,152363,152363,151465,151465,151465,151465,151465,151465,151465,151465,151465,151465,151465,151465,150968,150968,150968,150968,150968,150968,150968,150968,150968,150968,150968,150968,150475,150475,150475,150475,150475,150475,150475,150475,150475,150475,150475,150475,154740,154740,154740,154740,154740,154740,154740,154740,154740,154740,154740,154740,159005,159005,159005,159005,159005,159005,159005,159005,159005,159005,159005,159005,159408,159408,159408,159408,159408,159408,159408,159408,159408,159408,159408,159408,158559,158559,158559,158559,158559,158559,158559,158559,158559,158559,158559,158559,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157710,157986,157986,157986,157986,157986,157986,157986,157986,157986,157986,157986,157986,158288,158288,158288,158288,158288,158288,158288,158288,158288,158288,158288,158288,158299,158299,158299,158299,158299,158299,158299,158299,158299,158299,158299,158299,158309,158309,158309,158309,158309,158309,158309,158309,158309,158309,158309,158309,158319,158319,158319,158319,158319,158319,158319,158319,158319,158319,158319,158319,158329,158329,158329,158329,158329,158329,158329,158329,158329,158329,158329,158329,162269,162269,162269,162269,162269,162269,162269,162269,162269,162269,162269,162269,162269,162485,162485,162485,162485,162485,162485,162485,162485,162485,162485
Niterói ,466628,466628,466628,466628,466628,466628,466628,466628,466628,466628,466628,466628,471403,471403,471403,471403,471403,471403,471403,471403,471403,471403,471403,471403,474046,474046,474046,474046,474046,474046,474046,474046,474046,474046,474046,474046,476669,476669,476669,476669,476669,476669,476669,476669,476669,476669,476669,476669,477290,477290,477290,477290,477290,477290,477290,477290,477290,477290,477290,477290,477912,477912,477912,477912,477912,477912,477912,477912,477912,477912,477912,477912,479384,479384,479384,479384,479384,479384,479384,479384,479384,479384,479384,479384,484552,484552,484552,484552,484552,484552,484552,484552,484552,484552,484552,484552,489720,489720,489720,489720,489720,489720,489720,489720,489720,489720,489720,489720,491807,491807,491807,491807,491807,491807,491807,491807,491807,491807,491807,491807,494200,494200,494200,494200,494200,494200,494200,494200,494200,494200,494200,494200,495470,495470,495470,495470,495470,495470,495470,495470,495470,495470,495470,495470,496696,496696,496696,496696,496696,496696,496696,496696,496696,496696,496696,496696,497883,497883,497883,497883,497883,497883,497883,497883,497883,497883,497883,497883,499028,499028,499028,499028,499028,499028,499028,499028,499028,499028,499028,499028,511786,511786,511786,511786,511786,511786,511786,511786,511786,511786,511786,511786,511786,513584,513584,513584,513584,513584,513584,513584,513584,513584,513584
